onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	YY	1.21	2	1	1	1	n/a
11.24	0	button press	n/a	n/a	n/a	n/a	n/a	50
12.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
15.95	4.83	NN	0.92	4	1	0	0	n/a
16.86	0	button press	n/a	n/a	n/a	n/a	n/a	51
19.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
24.27	4.83	NN	1.23	6	1	0	0	n/a
25.50	0	button press	n/a	n/a	n/a	n/a	n/a	51
27.24	0	button press	n/a	n/a	n/a	n/a	n/a	54
32.35	4.83	YY	0.88	6	1	1	1	n/a
33.23	0	button press	n/a	n/a	n/a	n/a	n/a	50
34.29	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.92	4.83	NN	0.87	3	1	0	0	n/a
40.79	0	button press	n/a	n/a	n/a	n/a	n/a	51
42.00	0	button press	n/a	n/a	n/a	n/a	n/a	55
42.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
43.71	0	button press	n/a	n/a	n/a	n/a	n/a	55
45.90	4.83	NY	1.37	6	1	0	1	n/a
47.26	0	button press	n/a	n/a	n/a	n/a	n/a	50
48.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.24	4.83	YY	1.19	4	1	3	1	n/a
53.42	0	button press	n/a	n/a	n/a	n/a	n/a	50
54.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
58.83	4.83	YY	0.83	6	1	1	1	n/a
59.66	0	button press	n/a	n/a	n/a	n/a	n/a	50
60.80	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.11	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.36	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.63	0	button press	n/a	n/a	n/a	n/a	n/a	54
64.69	4.83	YY	0.98	3	1	1	1	n/a
65.67	0	button press	n/a	n/a	n/a	n/a	n/a	50
66.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.68	4.83	NN	1.07	2	1	0	0	n/a
73.75	0	button press	n/a	n/a	n/a	n/a	n/a	51
74.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
80.59	4.83	NN	1.20	4	1	0	0	n/a
81.79	0	button press	n/a	n/a	n/a	n/a	n/a	51
83.05	0	button press	n/a	n/a	n/a	n/a	n/a	55
86.22	4.83	YY	0.75	6	1	1	1	n/a
86.97	0	button press	n/a	n/a	n/a	n/a	n/a	50
88.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.41	4.83	YN	0.83	3	1	3	0	n/a
94.24	0	button press	n/a	n/a	n/a	n/a	n/a	51
95.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.22	0	button press	n/a	n/a	n/a	n/a	n/a	54
101.53	4.83	YY	0.78	6	1	1	1	n/a
102.32	0	button press	n/a	n/a	n/a	n/a	n/a	50
103.66	0	button press	n/a	n/a	n/a	n/a	n/a	54
107.67	4.83	YN	0.73	3	1	3	0	n/a
108.41	0	button press	n/a	n/a	n/a	n/a	n/a	51
109.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
114.60	4.83	YY	0.97	5	1	3	1	n/a
115.57	0	button press	n/a	n/a	n/a	n/a	n/a	50
117.00	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.86	4.83	YY	1.45	6	1	3	1	n/a
122.31	0	button press	n/a	n/a	n/a	n/a	n/a	50
128.15	4.83	YN	0.78	4	1	1	0	n/a
128.94	0	button press	n/a	n/a	n/a	n/a	n/a	51
130.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
136.01	4.83	NN	0.85	4	1	0	0	n/a
136.86	0	button press	n/a	n/a	n/a	n/a	n/a	51
138.34	0	button press	n/a	n/a	n/a	n/a	n/a	55
138.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
143.62	4.83	NY	1.05	4	1	0	1	n/a
144.67	0	button press	n/a	n/a	n/a	n/a	n/a	50
146.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
150.04	4.83	NN	0.90	5	1	0	0	n/a
150.94	0	button press	n/a	n/a	n/a	n/a	n/a	51
152.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
158.60	4.83	NY	1.28	2	1	0	1	n/a
159.88	0	button press	n/a	n/a	n/a	n/a	n/a	50
165.61	4.83	NN	0.75	6	1	0	0	n/a
166.36	0	button press	n/a	n/a	n/a	n/a	n/a	51
168.25	0	button press	n/a	n/a	n/a	n/a	n/a	54
168.87	0	button press	n/a	n/a	n/a	n/a	n/a	54
173.67	4.83	NY	1.03	2	1	0	1	n/a
174.70	0	button press	n/a	n/a	n/a	n/a	n/a	50
175.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.62	4.83	YY	0.90	6	1	1	1	n/a
181.52	0	button press	n/a	n/a	n/a	n/a	n/a	50
188.68	4.83	YY	0.85	2	1	1	1	n/a
189.53	0	button press	n/a	n/a	n/a	n/a	n/a	50
190.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
194.64	4.83	YY	1.02	4	1	3	1	n/a
195.66	0	button press	n/a	n/a	n/a	n/a	n/a	50
197.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
200.30	4.83	NN	0.91	1	1	0	0	n/a
201.22	0	button press	n/a	n/a	n/a	n/a	n/a	51
202.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
202.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
202.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
206.41	4.83	NN	0.82	5	1	0	0	n/a
207.23	0	button press	n/a	n/a	n/a	n/a	n/a	51
208.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
209.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
212.22	4.83	YY	0.95	6	1	3	1	n/a
213.17	0	button press	n/a	n/a	n/a	n/a	n/a	50
220.78	4.83	NN	1.41	2	1	0	0	n/a
222.19	0	button press	n/a	n/a	n/a	n/a	n/a	51
223.84	0	button press	n/a	n/a	n/a	n/a	n/a	55
229.47	4.83	YN	1.02	4	1	3	0	n/a
230.48	0	button press	n/a	n/a	n/a	n/a	n/a	51
231.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
232.20	0	button press	n/a	n/a	n/a	n/a	n/a	55
236.66	4.83	YY	0.72	6	1	1	1	n/a
237.37	0	button press	n/a	n/a	n/a	n/a	n/a	50
244.45	4.83	NY	0.78	6	1	0	1	n/a
