onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	YN	0.98	4	1	3	0	n/a
11.01	0	button press	n/a	n/a	n/a	n/a	n/a	50
12.62	0	button press	n/a	n/a	n/a	n/a	n/a	54
13.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
16.95	4.83	NN	1.23	4	1	0	0	n/a
18.18	0	button press	n/a	n/a	n/a	n/a	n/a	50
19.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
24.32	4.83	NN	1.31	6	1	0	0	n/a
25.64	0	button press	n/a	n/a	n/a	n/a	n/a	50
26.83	0	button press	n/a	n/a	n/a	n/a	n/a	54
27.20	0	button press	n/a	n/a	n/a	n/a	n/a	54
27.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
27.67	0	button press	n/a	n/a	n/a	n/a	n/a	54
31.03	4.83	YY	0.82	6	1	1	1	n/a
31.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
32.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
32.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
33.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
38.59	4.83	YY	0.92	6	1	3	1	n/a
39.51	0	button press	n/a	n/a	n/a	n/a	n/a	51
39.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
40.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.00	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.20	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.39	0	button press	n/a	n/a	n/a	n/a	n/a	54
46.93	4.83	YN	1.03	6	1	1	0	n/a
47.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
48.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.41	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
53.72	4.83	NN	0.95	6	1	0	0	n/a
54.67	0	button press	n/a	n/a	n/a	n/a	n/a	50
55.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
60.28	4.83	YY	0.90	6	1	1	1	n/a
61.18	0	button press	n/a	n/a	n/a	n/a	n/a	51
61.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.88	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.74	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.42	4.83	YN	1.25	3	1	3	0	n/a
69.67	0	button press	n/a	n/a	n/a	n/a	n/a	50
70.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
71.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.79	4.83	YY	0.93	4	1	3	1	n/a
76.73	0	button press	n/a	n/a	n/a	n/a	n/a	51
77.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
83.42	4.83	YY	0.82	4	1	1	1	n/a
84.24	0	button press	n/a	n/a	n/a	n/a	n/a	51
85.32	0	button press	n/a	n/a	n/a	n/a	n/a	54
85.85	0	button press	n/a	n/a	n/a	n/a	n/a	55
86.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.45	4.83	NN	0.97	6	1	0	0	n/a
92.41	0	button press	n/a	n/a	n/a	n/a	n/a	50
93.01	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.31	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
99.99	4.83	NN	0.90	6	1	0	0	n/a
100.88	0	button press	n/a	n/a	n/a	n/a	n/a	50
101.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
108.07	4.83	NN	0.80	6	1	0	0	n/a
108.88	0	button press	n/a	n/a	n/a	n/a	n/a	50
109.51	0	button press	n/a	n/a	n/a	n/a	n/a	54
109.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
110.01	0	button press	n/a	n/a	n/a	n/a	n/a	54
110.24	0	button press	n/a	n/a	n/a	n/a	n/a	54
110.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
115.50	4.83	YN	0.88	3	1	1	0	n/a
116.38	0	button press	n/a	n/a	n/a	n/a	n/a	50
117.50	0	button press	n/a	n/a	n/a	n/a	n/a	54
117.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
122.71	4.83	YN	0.88	6	1	3	0	n/a
123.59	0	button press	n/a	n/a	n/a	n/a	n/a	50
129.90	4.83	NN	0.87	6	1	0	0	n/a
130.77	0	button press	n/a	n/a	n/a	n/a	n/a	50
131.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
132.00	0	button press	n/a	n/a	n/a	n/a	n/a	54
135.77	4.83	NN	1.07	6	1	0	0	n/a
136.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
137.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
141.85	4.83	NN	0.86	5	1	0	0	n/a
142.72	0	button press	n/a	n/a	n/a	n/a	n/a	50
143.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
143.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
148.04	4.83	NN	0.92	5	1	0	0	n/a
148.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
150.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
150.29	0	button press	n/a	n/a	n/a	n/a	n/a	54
150.51	0	button press	n/a	n/a	n/a	n/a	n/a	54
