onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	CC	1.39	2	0	1	1	n/a
11.42	0	button press	n/a	n/a	n/a	n/a	n/a	50
12.15	0	button press	n/a	n/a	n/a	n/a	n/a	55
12.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
18.01	4.83	AA	1.17	4	0	3	3	n/a
19.18	0	button press	n/a	n/a	n/a	n/a	n/a	51
19.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
20.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
25.02	4.83	AC	1.15	1	0	3	1	n/a
26.17	0	button press	n/a	n/a	n/a	n/a	n/a	50
26.65	0	button press	n/a	n/a	n/a	n/a	n/a	55
26.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
27.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
27.35	0	button press	n/a	n/a	n/a	n/a	n/a	55
27.65	0	button press	n/a	n/a	n/a	n/a	n/a	55
33.75	4.83	CC	1.32	5	0	1	1	n/a
35.06	0	button press	n/a	n/a	n/a	n/a	n/a	50
35.56	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.17	4.83	CC	1.00	6	0	1	1	n/a
42.17	0	button press	n/a	n/a	n/a	n/a	n/a	50
42.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
43.05	0	button press	n/a	n/a	n/a	n/a	n/a	54
48.13	4.83	AA	0.95	6	0	3	3	n/a
49.08	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
56.64	4.83	AA	1.05	6	0	3	3	n/a
57.68	0	button press	n/a	n/a	n/a	n/a	n/a	51
58.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
58.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
59.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.41	4.83	CC	0.88	6	0	1	1	n/a
63.29	0	button press	n/a	n/a	n/a	n/a	n/a	50
64.09	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.20	4.83	CA	1.00	4	0	1	3	n/a
69.20	0	button press	n/a	n/a	n/a	n/a	n/a	51
70.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
76.18	4.83	CC	0.90	6	0	1	1	n/a
77.08	0	button press	n/a	n/a	n/a	n/a	n/a	50
77.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.38	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.64	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.25	4.83	CC	0.90	6	0	1	1	n/a
85.15	0	button press	n/a	n/a	n/a	n/a	n/a	50
85.80	0	button press	n/a	n/a	n/a	n/a	n/a	54
86.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
86.27	0	button press	n/a	n/a	n/a	n/a	n/a	54
86.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
86.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
87.03	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.04	4.83	AA	1.16	2	0	3	3	n/a
94.21	0	button press	n/a	n/a	n/a	n/a	n/a	51
94.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
95.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
95.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
99.27	4.83	CC	1.27	2	0	1	1	n/a
100.53	0	button press	n/a	n/a	n/a	n/a	n/a	50
101.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
101.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
102.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
105.03	4.83	CC	0.97	6	0	1	1	n/a
105.99	0	button press	n/a	n/a	n/a	n/a	n/a	50
106.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
106.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
113.94	4.83	CC	0.90	6	0	1	1	n/a
114.83	0	button press	n/a	n/a	n/a	n/a	n/a	50
115.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
120.74	4.83	AA	1.17	1	0	3	3	n/a
121.91	0	button press	n/a	n/a	n/a	n/a	n/a	51
122.34	0	button press	n/a	n/a	n/a	n/a	n/a	55
122.59	0	button press	n/a	n/a	n/a	n/a	n/a	55
127.55	4.83	AC	1.03	2	0	3	1	n/a
128.58	0	button press	n/a	n/a	n/a	n/a	n/a	50
129.55	0	button press	n/a	n/a	n/a	n/a	n/a	54
129.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
130.15	0	button press	n/a	n/a	n/a	n/a	n/a	55
130.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
130.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
134.23	4.83	CC	1.29	6	0	1	1	n/a
135.51	0	button press	n/a	n/a	n/a	n/a	n/a	50
136.04	0	button press	n/a	n/a	n/a	n/a	n/a	54
140.60	4.83	AA	0.98	2	0	3	3	n/a
141.59	0	button press	n/a	n/a	n/a	n/a	n/a	51
142.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
142.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
147.95	4.83	CC	0.83	6	0	1	1	n/a
148.78	0	button press	n/a	n/a	n/a	n/a	n/a	50
149.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
149.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
149.88	0	button press	n/a	n/a	n/a	n/a	n/a	54
150.11	0	button press	n/a	n/a	n/a	n/a	n/a	54
154.54	4.83	AA	0.96	2	0	3	3	n/a
155.50	0	button press	n/a	n/a	n/a	n/a	n/a	51
156.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
156.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
162.31	4.83	AA	1.28	4	0	3	3	n/a
163.60	0	button press	n/a	n/a	n/a	n/a	n/a	51
164.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
164.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
170.42	4.83	AA	0.97	6	0	3	3	n/a
171.39	0	button press	n/a	n/a	n/a	n/a	n/a	51
172.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
178.44	4.83	CA	1.10	2	0	1	3	n/a
179.54	0	button press	n/a	n/a	n/a	n/a	n/a	51
180.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
181.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
185.88	4.83	AA	0.89	4	0	3	3	n/a
186.77	0	button press	n/a	n/a	n/a	n/a	n/a	51
