onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	CC	0.83	6	0	1	1	n/a
10.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
17.73	4.83	AA	0.80	4	0	3	3	n/a
18.53	0	button press	n/a	n/a	n/a	n/a	n/a	50
20.04	0	button press	n/a	n/a	n/a	n/a	n/a	54
20.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
23.72	4.83	CC	0.72	6	0	1	1	n/a
24.44	0	button press	n/a	n/a	n/a	n/a	n/a	51
25.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
25.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
26.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
26.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
31.26	4.83	CC	1.18	4	0	1	1	n/a
32.44	0	button press	n/a	n/a	n/a	n/a	n/a	51
33.26	0	button press	n/a	n/a	n/a	n/a	n/a	54
33.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.77	4.83	AA	0.83	5	0	3	3	n/a
40.60	0	button press	n/a	n/a	n/a	n/a	n/a	50
41.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
47.06	4.83	AC	0.98	2	0	3	1	n/a
48.04	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.64	0	button press	n/a	n/a	n/a	n/a	n/a	54
54.50	4.83	CA	1.02	2	0	1	3	n/a
55.52	0	button press	n/a	n/a	n/a	n/a	n/a	50
56.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
56.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
63.14	4.83	CA	1.03	4	0	1	3	n/a
64.18	0	button press	n/a	n/a	n/a	n/a	n/a	50
65.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
69.15	4.83	AC	1.35	5	0	3	1	n/a
70.50	0	button press	n/a	n/a	n/a	n/a	n/a	51
71.27	0	button press	n/a	n/a	n/a	n/a	n/a	55
71.50	0	button press	n/a	n/a	n/a	n/a	n/a	55
71.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
75.96	4.83	CC	0.70	4	0	1	1	n/a
76.66	0	button press	n/a	n/a	n/a	n/a	n/a	51
77.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.24	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.53	4.83	AA	0.83	4	0	3	3	n/a
85.37	0	button press	n/a	n/a	n/a	n/a	n/a	50
86.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
86.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
87.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
91.39	4.83	AA	1.03	3	0	3	3	n/a
92.31	0	button press	n/a	n/a	n/a	n/a	n/a	50
92.42	0	button press	n/a	n/a	n/a	n/a	n/a	50
93.74	0	button press	n/a	n/a	n/a	n/a	n/a	54
94.04	0	button press	n/a	n/a	n/a	n/a	n/a	54
99.80	4.83	CC	0.70	5	0	1	1	n/a
100.50	0	button press	n/a	n/a	n/a	n/a	n/a	51
101.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
102.05	0	button press	n/a	n/a	n/a	n/a	n/a	55
102.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
107.07	4.83	CC	0.67	4	0	1	1	n/a
107.74	0	button press	n/a	n/a	n/a	n/a	n/a	51
109.27	0	button press	n/a	n/a	n/a	n/a	n/a	55
112.70	4.83	AA	0.73	4	0	3	3	n/a
113.43	0	button press	n/a	n/a	n/a	n/a	n/a	50
114.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.15	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.19	4.83	AC	0.87	4	0	3	1	n/a
121.06	0	button press	n/a	n/a	n/a	n/a	n/a	51
122.44	0	button press	n/a	n/a	n/a	n/a	n/a	54
128.53	4.83	AC	1.02	4	0	3	1	n/a
129.55	0	button press	n/a	n/a	n/a	n/a	n/a	51
130.66	0	button press	n/a	n/a	n/a	n/a	n/a	55
130.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
131.35	0	button press	n/a	n/a	n/a	n/a	n/a	55
137.16	4.83	CC	1.30	3	0	1	1	n/a
138.46	0	button press	n/a	n/a	n/a	n/a	n/a	51
139.29	0	button press	n/a	n/a	n/a	n/a	n/a	54
139.54	0	button press	n/a	n/a	n/a	n/a	n/a	54
140.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
143.20	4.83	CC	0.78	4	0	1	1	n/a
143.98	0	button press	n/a	n/a	n/a	n/a	n/a	51
150.04	4.83	CC	0.92	6	0	1	1	n/a
150.96	0	button press	n/a	n/a	n/a	n/a	n/a	51
151.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
156.05	4.83	AA	1.20	1	0	3	3	n/a
157.25	0	button press	n/a	n/a	n/a	n/a	n/a	50
158.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
158.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
158.57	0	button press	n/a	n/a	n/a	n/a	n/a	54
163.73	4.83	CC	0.68	6	0	1	1	n/a
164.41	0	button press	n/a	n/a	n/a	n/a	n/a	51
165.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
165.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
172.62	4.83	AA	1.00	1	0	3	3	n/a
173.61	0	button press	n/a	n/a	n/a	n/a	n/a	50
174.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
174.85	0	button press	n/a	n/a	n/a	n/a	n/a	54
175.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
175.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
175.83	0	button press	n/a	n/a	n/a	n/a	n/a	54
178.76	4.83	AA	0.75	6	0	3	3	n/a
179.51	0	button press	n/a	n/a	n/a	n/a	n/a	50
180.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.87	0	button press	n/a	n/a	n/a	n/a	n/a	55
181.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
181.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
186.10	4.83	AA	0.63	6	0	3	3	n/a
186.73	0	button press	n/a	n/a	n/a	n/a	n/a	50
188.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
188.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
188.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
188.63	0	button press	n/a	n/a	n/a	n/a	n/a	55
193.33	4.83	AA	0.77	5	0	3	3	n/a
194.09	0	button press	n/a	n/a	n/a	n/a	n/a	50
195.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
201.15	4.83	AA	0.88	4	0	3	3	n/a
202.03	0	button press	n/a	n/a	n/a	n/a	n/a	50
203.25	0	button press	n/a	n/a	n/a	n/a	n/a	54
203.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
208.76	4.83	CC	1.00	4	0	1	1	n/a
209.76	0	button press	n/a	n/a	n/a	n/a	n/a	51
210.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
211.64	0	button press	n/a	n/a	n/a	n/a	n/a	54
216.73	4.83	CC	0.95	4	0	1	1	n/a
217.68	0	button press	n/a	n/a	n/a	n/a	n/a	51
218.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
219.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
224.39	4.83	CC	0.72	3	0	1	1	n/a
225.10	0	button press	n/a	n/a	n/a	n/a	n/a	51
226.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
