onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	CC	0.91	5	0	1	1	n/a
10.94	0	button press	n/a	n/a	n/a	n/a	n/a	51
12.44	0	button press	n/a	n/a	n/a	n/a	n/a	50
12.69	0	button press	n/a	n/a	n/a	n/a	n/a	50
13.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
13.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
14.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
14.47	0	button press	n/a	n/a	n/a	n/a	n/a	55
18.21	4.83	AC	0.95	1	0	3	1	n/a
19.16	0	button press	n/a	n/a	n/a	n/a	n/a	51
20.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
20.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
21.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
26.12	4.83	CC	1.35	6	0	1	1	n/a
27.47	0	button press	n/a	n/a	n/a	n/a	n/a	51
28.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
28.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
29.02	0	button press	n/a	n/a	n/a	n/a	n/a	54
33.43	4.83	missed_trial	n/a	n/a	0	3	n/a	n/a
34.64	0	button press	n/a	n/a	n/a	n/a	n/a	54
35.04	0	button press	n/a	n/a	n/a	n/a	n/a	50
41.70	4.83	AA	1.20	6	0	3	3	n/a
42.90	0	button press	n/a	n/a	n/a	n/a	n/a	50
43.85	0	button press	n/a	n/a	n/a	n/a	n/a	54
44.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
44.30	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.98	4.83	CA	0.83	6	0	1	3	n/a
50.81	0	button press	n/a	n/a	n/a	n/a	n/a	50
51.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.37	0	button press	n/a	n/a	n/a	n/a	n/a	54
58.52	4.83	CA	1.17	1	0	1	3	n/a
59.68	0	button press	n/a	n/a	n/a	n/a	n/a	50
60.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
60.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
61.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.47	4.83	AA	1.23	3	0	3	3	n/a
66.71	0	button press	n/a	n/a	n/a	n/a	n/a	50
67.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.97	0	button press	n/a	n/a	n/a	n/a	n/a	54
73.57	4.83	CC	0.92	4	0	1	1	n/a
74.48	0	button press	n/a	n/a	n/a	n/a	n/a	51
75.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
81.01	4.83	AA	1.03	5	0	3	3	n/a
82.04	0	button press	n/a	n/a	n/a	n/a	n/a	50
83.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
83.37	0	button press	n/a	n/a	n/a	n/a	n/a	54
87.35	4.83	CA	0.92	4	0	1	3	n/a
88.27	0	button press	n/a	n/a	n/a	n/a	n/a	50
89.50	0	button press	n/a	n/a	n/a	n/a	n/a	54
89.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
89.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.91	4.83	AA	0.88	4	0	3	3	n/a
94.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
95.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.19	0	button press	n/a	n/a	n/a	n/a	n/a	55
96.46	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.19	4.83	CC	0.98	3	0	1	1	n/a
101.17	0	button press	n/a	n/a	n/a	n/a	n/a	51
102.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
106.64	4.83	CC	1.23	5	0	1	1	n/a
107.88	0	button press	n/a	n/a	n/a	n/a	n/a	51
108.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
109.04	0	button press	n/a	n/a	n/a	n/a	n/a	54
109.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
112.40	4.83	AA	0.97	4	0	3	3	n/a
113.37	0	button press	n/a	n/a	n/a	n/a	n/a	50
114.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.05	4.83	AA	1.02	4	0	3	3	n/a
121.06	0	button press	n/a	n/a	n/a	n/a	n/a	50
122.26	0	button press	n/a	n/a	n/a	n/a	n/a	54
127.80	4.83	AA	0.88	4	0	3	3	n/a
128.69	0	button press	n/a	n/a	n/a	n/a	n/a	50
129.88	0	button press	n/a	n/a	n/a	n/a	n/a	54
130.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
130.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
135.96	4.83	AA	0.85	4	0	3	3	n/a
136.81	0	button press	n/a	n/a	n/a	n/a	n/a	50
137.81	0	button press	n/a	n/a	n/a	n/a	n/a	54
138.27	0	button press	n/a	n/a	n/a	n/a	n/a	55
138.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
139.07	0	button press	n/a	n/a	n/a	n/a	n/a	54
143.57	4.83	CC	1.05	5	0	1	1	n/a
144.62	0	button press	n/a	n/a	n/a	n/a	n/a	51
145.52	0	button press	n/a	n/a	n/a	n/a	n/a	54
145.75	0	button press	n/a	n/a	n/a	n/a	n/a	54
146.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
149.88	4.83	AA	1.10	6	0	3	3	n/a
150.98	0	button press	n/a	n/a	n/a	n/a	n/a	50
152.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
158.42	4.83	AA	0.75	4	0	3	3	n/a
159.17	0	button press	n/a	n/a	n/a	n/a	n/a	50
160.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
160.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
160.98	0	button press	n/a	n/a	n/a	n/a	n/a	54
164.71	4.83	AA	0.70	5	0	3	3	n/a
165.41	0	button press	n/a	n/a	n/a	n/a	n/a	50
166.91	0	button press	n/a	n/a	n/a	n/a	n/a	54
171.82	4.83	AA	1.13	4	0	3	3	n/a
172.95	0	button press	n/a	n/a	n/a	n/a	n/a	50
173.80	0	button press	n/a	n/a	n/a	n/a	n/a	54
174.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
175.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
177.46	4.83	CA	1.18	3	0	1	3	n/a
178.65	0	button press	n/a	n/a	n/a	n/a	n/a	50
179.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
185.92	4.83	AA	0.78	4	0	3	3	n/a
186.70	0	button press	n/a	n/a	n/a	n/a	n/a	50
188.02	0	button press	n/a	n/a	n/a	n/a	n/a	54
194.34	4.83	AA	0.68	5	0	3	3	n/a
195.03	0	button press	n/a	n/a	n/a	n/a	n/a	50
196.23	0	button press	n/a	n/a	n/a	n/a	n/a	54
