onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	AA	0.98	4	0	3	3	n/a
11.00	0	button press	n/a	n/a	n/a	n/a	n/a	51
12.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
12.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
12.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
16.51	4.83	CC	1.07	6	0	1	1	n/a
17.58	0	button press	n/a	n/a	n/a	n/a	n/a	50
18.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
18.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
19.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
22.84	4.83	CA	1.02	5	0	1	3	n/a
23.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
24.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
30.16	4.83	CC	0.90	6	0	1	1	n/a
31.07	0	button press	n/a	n/a	n/a	n/a	n/a	50
32.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
36.29	4.83	AC	1.15	3	0	3	1	n/a
37.44	0	button press	n/a	n/a	n/a	n/a	n/a	50
38.49	0	button press	n/a	n/a	n/a	n/a	n/a	54
38.81	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.51	0	button press	n/a	n/a	n/a	n/a	n/a	54
43.98	4.83	AA	0.95	5	0	3	3	n/a
44.93	0	button press	n/a	n/a	n/a	n/a	n/a	51
45.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
46.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
46.46	0	button press	n/a	n/a	n/a	n/a	n/a	55
51.88	4.83	AA	0.83	6	0	3	3	n/a
52.71	0	button press	n/a	n/a	n/a	n/a	n/a	51
53.50	0	button press	n/a	n/a	n/a	n/a	n/a	55
53.82	0	button press	n/a	n/a	n/a	n/a	n/a	55
60.59	4.83	CA	1.02	3	0	1	3	n/a
61.61	0	button press	n/a	n/a	n/a	n/a	n/a	51
62.98	0	button press	n/a	n/a	n/a	n/a	n/a	55
63.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
67.57	4.83	CA	1.07	4	0	1	3	n/a
68.64	0	button press	n/a	n/a	n/a	n/a	n/a	51
69.63	0	button press	n/a	n/a	n/a	n/a	n/a	55
76.36	4.83	CA	1.00	3	0	1	3	n/a
77.36	0	button press	n/a	n/a	n/a	n/a	n/a	51
78.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
79.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
79.74	0	button press	n/a	n/a	n/a	n/a	n/a	54
82.32	4.83	CA	1.12	4	0	1	3	n/a
83.44	0	button press	n/a	n/a	n/a	n/a	n/a	51
84.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
89.68	4.83	AA	0.92	5	0	3	3	n/a
90.59	0	button press	n/a	n/a	n/a	n/a	n/a	51
91.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.64	0	button press	n/a	n/a	n/a	n/a	n/a	55
92.04	0	button press	n/a	n/a	n/a	n/a	n/a	54
97.98	4.83	AA	0.85	5	0	3	3	n/a
98.83	0	button press	n/a	n/a	n/a	n/a	n/a	51
100.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
106.13	4.83	CA	1.00	4	0	1	3	n/a
107.12	0	button press	n/a	n/a	n/a	n/a	n/a	51
108.46	0	button press	n/a	n/a	n/a	n/a	n/a	55
108.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
112.68	4.83	CC	0.93	5	0	1	1	n/a
113.62	0	button press	n/a	n/a	n/a	n/a	n/a	50
114.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
119.79	4.83	AC	1.00	5	0	3	1	n/a
120.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
122.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
126.57	4.83	CC	1.12	3	0	1	1	n/a
127.69	0	button press	n/a	n/a	n/a	n/a	n/a	50
129.40	0	button press	n/a	n/a	n/a	n/a	n/a	54
129.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
133.44	4.83	CA	0.72	6	0	1	3	n/a
134.16	0	button press	n/a	n/a	n/a	n/a	n/a	51
134.98	0	button press	n/a	n/a	n/a	n/a	n/a	55
135.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
135.57	0	button press	n/a	n/a	n/a	n/a	n/a	55
141.53	4.83	AA	0.77	6	0	3	3	n/a
142.30	0	button press	n/a	n/a	n/a	n/a	n/a	51
143.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
148.23	4.83	AC	0.82	5	0	3	1	n/a
149.04	0	button press	n/a	n/a	n/a	n/a	n/a	50
150.27	0	button press	n/a	n/a	n/a	n/a	n/a	55
150.64	0	button press	n/a	n/a	n/a	n/a	n/a	55
150.91	0	button press	n/a	n/a	n/a	n/a	n/a	55
151.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
154.77	4.83	AC	0.88	3	0	3	1	n/a
155.65	0	button press	n/a	n/a	n/a	n/a	n/a	50
156.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
157.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
163.06	4.83	AA	1.40	5	0	3	3	n/a
164.46	0	button press	n/a	n/a	n/a	n/a	n/a	51
165.47	0	button press	n/a	n/a	n/a	n/a	n/a	55
165.77	0	button press	n/a	n/a	n/a	n/a	n/a	55
168.77	4.83	AC	1.23	5	0	3	1	n/a
170.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
171.32	0	button press	n/a	n/a	n/a	n/a	n/a	54
172.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
177.61	4.83	CC	1.35	4	0	1	1	n/a
178.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
179.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.19	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.51	0	button press	n/a	n/a	n/a	n/a	n/a	55
184.22	4.83	AA	0.88	5	0	3	3	n/a
185.10	0	button press	n/a	n/a	n/a	n/a	n/a	51
186.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
186.63	0	button press	n/a	n/a	n/a	n/a	n/a	55
186.91	0	button press	n/a	n/a	n/a	n/a	n/a	55
191.11	4.83	CA	0.93	5	0	1	3	n/a
192.04	0	button press	n/a	n/a	n/a	n/a	n/a	51
193.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
193.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
193.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
194.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
194.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
199.05	4.83	AA	1.18	6	0	3	3	n/a
200.23	0	button press	n/a	n/a	n/a	n/a	n/a	51
207.02	4.83	AC	0.90	4	0	3	1	n/a
207.92	0	button press	n/a	n/a	n/a	n/a	n/a	50
209.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
210.50	0	button press	n/a	n/a	n/a	n/a	n/a	54
215.15	4.83	CC	0.85	5	0	1	1	n/a
216.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
217.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
223.39	4.83	AA	0.77	4	0	3	3	n/a
224.16	0	button press	n/a	n/a	n/a	n/a	n/a	51
225.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
229.03	4.83	AA	0.92	4	0	3	3	n/a
229.95	0	button press	n/a	n/a	n/a	n/a	n/a	51
231.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
231.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
231.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
236.12	4.83	CA	0.85	5	0	1	3	n/a
236.97	0	button press	n/a	n/a	n/a	n/a	n/a	51
238.46	0	button press	n/a	n/a	n/a	n/a	n/a	55
243.35	4.83	CA	0.92	4	0	1	3	n/a
244.27	0	button press	n/a	n/a	n/a	n/a	n/a	51
245.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
251.69	4.83	CC	0.88	4	0	1	1	n/a
252.57	0	button press	n/a	n/a	n/a	n/a	n/a	50
253.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
254.55	0	button press	n/a	n/a	n/a	n/a	n/a	54
260.46	4.83	CC	1.15	4	0	1	1	n/a
261.61	0	button press	n/a	n/a	n/a	n/a	n/a	50
