onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	AA	0.69	5	0	3	3	n/a
10.72	0	button press	n/a	n/a	n/a	n/a	n/a	50
12.30	0	button press	n/a	n/a	n/a	n/a	n/a	54
18.16	4.83	AA	0.62	6	0	3	3	n/a
18.78	0	button press	n/a	n/a	n/a	n/a	n/a	50
20.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
20.35	0	button press	n/a	n/a	n/a	n/a	n/a	55
25.62	4.83	CA	0.72	5	0	1	3	n/a
26.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
27.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
27.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
28.27	0	button press	n/a	n/a	n/a	n/a	n/a	55
28.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
33.86	4.83	CC	0.67	6	0	1	1	n/a
34.53	0	button press	n/a	n/a	n/a	n/a	n/a	51
35.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
40.69	4.83	AA	0.85	6	0	3	3	n/a
41.54	0	button press	n/a	n/a	n/a	n/a	n/a	50
48.99	4.83	AA	0.85	5	0	3	3	n/a
49.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
55.85	4.83	CC	0.70	6	0	1	1	n/a
56.55	0	button press	n/a	n/a	n/a	n/a	n/a	51
57.77	0	button press	n/a	n/a	n/a	n/a	n/a	55
58.00	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.46	4.83	AA	0.65	6	0	3	3	n/a
65.11	0	button press	n/a	n/a	n/a	n/a	n/a	50
66.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
66.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
66.84	0	button press	n/a	n/a	n/a	n/a	n/a	55
71.75	4.83	CA	0.72	6	0	1	3	n/a
72.47	0	button press	n/a	n/a	n/a	n/a	n/a	50
73.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
73.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
74.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.79	4.83	AC	0.63	6	0	3	1	n/a
78.43	0	button press	n/a	n/a	n/a	n/a	n/a	51
79.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
83.84	4.83	CC	0.70	6	0	1	1	n/a
84.54	0	button press	n/a	n/a	n/a	n/a	n/a	51
85.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
85.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
86.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
89.85	4.83	AA	0.67	6	0	3	3	n/a
90.51	0	button press	n/a	n/a	n/a	n/a	n/a	50
91.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
92.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
92.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
97.57	4.83	AA	0.81	4	0	3	3	n/a
98.39	0	button press	n/a	n/a	n/a	n/a	n/a	50
99.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
103.47	4.83	CA	0.93	6	0	1	3	n/a
104.40	0	button press	n/a	n/a	n/a	n/a	n/a	50
105.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
105.71	0	button press	n/a	n/a	n/a	n/a	n/a	55
105.96	0	button press	n/a	n/a	n/a	n/a	n/a	55
106.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
111.09	4.83	AA	0.70	6	0	3	3	n/a
111.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
112.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
118.33	4.83	CA	0.78	5	0	1	3	n/a
119.11	0	button press	n/a	n/a	n/a	n/a	n/a	50
120.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
125.62	4.83	CA	0.77	5	0	1	3	n/a
126.39	0	button press	n/a	n/a	n/a	n/a	n/a	50
127.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
133.21	4.83	AA	0.78	5	0	3	3	n/a
134.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
142.05	4.83	CA	1.05	4	0	1	3	n/a
143.10	0	button press	n/a	n/a	n/a	n/a	n/a	50
144.40	0	button press	n/a	n/a	n/a	n/a	n/a	54
145.67	0	button press	n/a	n/a	n/a	n/a	n/a	54
149.51	4.83	AA	0.73	6	0	3	3	n/a
150.24	0	button press	n/a	n/a	n/a	n/a	n/a	50
151.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
151.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
156.92	4.83	CA	1.15	6	0	1	3	n/a
158.07	0	button press	n/a	n/a	n/a	n/a	n/a	50
164.10	4.83	AA	0.77	6	0	3	3	n/a
164.86	0	button press	n/a	n/a	n/a	n/a	n/a	50
166.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.31	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.71	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
170.09	4.83	CC	0.83	5	0	1	1	n/a
170.92	0	button press	n/a	n/a	n/a	n/a	n/a	51
172.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
172.50	0	button press	n/a	n/a	n/a	n/a	n/a	55
172.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
173.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
176.85	4.83	AA	1.01	6	0	3	3	n/a
177.86	0	button press	n/a	n/a	n/a	n/a	n/a	50
