onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	AC	1.06	2	0	3	1	n/a
11.09	0	button press	n/a	n/a	n/a	n/a	n/a	50
13.27	0	button press	n/a	n/a	n/a	n/a	n/a	54
17.50	4.83	CC	0.65	6	0	1	1	n/a
18.15	0	button press	n/a	n/a	n/a	n/a	n/a	50
19.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
20.29	0	button press	n/a	n/a	n/a	n/a	n/a	54
24.64	4.83	AC	0.93	6	0	3	1	n/a
25.57	0	button press	n/a	n/a	n/a	n/a	n/a	50
32.84	4.83	CA	0.63	6	0	1	3	n/a
33.48	0	button press	n/a	n/a	n/a	n/a	n/a	51
34.58	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.30	4.83	CC	1.00	4	0	1	1	n/a
40.30	0	button press	n/a	n/a	n/a	n/a	n/a	50
45.95	4.83	CC	0.83	6	0	1	1	n/a
46.78	0	button press	n/a	n/a	n/a	n/a	n/a	50
47.83	0	button press	n/a	n/a	n/a	n/a	n/a	54
53.06	4.83	AA	0.65	5	0	3	3	n/a
53.70	0	button press	n/a	n/a	n/a	n/a	n/a	51
55.00	0	button press	n/a	n/a	n/a	n/a	n/a	54
55.24	0	button press	n/a	n/a	n/a	n/a	n/a	54
55.62	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.41	4.83	CC	0.67	6	0	1	1	n/a
62.08	0	button press	n/a	n/a	n/a	n/a	n/a	50
63.31	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.74	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.99	4.83	AA	0.87	3	0	3	3	n/a
68.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
76.48	4.83	CC	0.93	2	0	1	1	n/a
77.41	0	button press	n/a	n/a	n/a	n/a	n/a	50
84.34	4.83	AC	1.41	3	0	3	1	n/a
85.75	0	button press	n/a	n/a	n/a	n/a	n/a	50
92.43	4.83	CA	0.97	3	0	1	3	n/a
93.39	0	button press	n/a	n/a	n/a	n/a	n/a	51
98.27	4.83	missed_trial	n/a	n/a	0	1	n/a	n/a
99.83	0	button press	n/a	n/a	n/a	n/a	n/a	51
106.36	4.83	CC	1.50	2	0	1	1	n/a
107.86	0	button press	n/a	n/a	n/a	n/a	n/a	50
114.87	4.83	CA	0.65	4	0	1	3	n/a
115.52	0	button press	n/a	n/a	n/a	n/a	n/a	51
116.83	0	button press	n/a	n/a	n/a	n/a	n/a	54
117.11	0	button press	n/a	n/a	n/a	n/a	n/a	54
117.31	0	button press	n/a	n/a	n/a	n/a	n/a	54
