onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	CA	1.08	2	0	1	3	n/a
11.10	0	button press	n/a	n/a	n/a	n/a	n/a	50
12.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
17.01	4.83	CA	0.92	6	0	1	3	n/a
17.93	0	button press	n/a	n/a	n/a	n/a	n/a	50
18.74	0	button press	n/a	n/a	n/a	n/a	n/a	54
19.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
19.39	0	button press	n/a	n/a	n/a	n/a	n/a	54
19.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
24.02	4.83	AA	0.77	6	0	3	3	n/a
24.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
25.14	0	button press	n/a	n/a	n/a	n/a	n/a	54
25.85	0	button press	n/a	n/a	n/a	n/a	n/a	54
26.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
26.49	0	button press	n/a	n/a	n/a	n/a	n/a	54
26.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
30.27	4.83	AA	0.98	6	0	3	3	n/a
31.25	0	button press	n/a	n/a	n/a	n/a	n/a	50
32.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
32.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
33.24	0	button press	n/a	n/a	n/a	n/a	n/a	54
33.58	0	button press	n/a	n/a	n/a	n/a	n/a	54
36.74	4.83	CA	0.83	3	0	1	3	n/a
37.57	0	button press	n/a	n/a	n/a	n/a	n/a	50
38.62	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
40.00	0	button press	n/a	n/a	n/a	n/a	n/a	55
40.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
40.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
43.70	4.83	CA	1.30	2	0	1	3	n/a
45.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
50.29	4.83	CA	1.10	2	0	1	3	n/a
51.39	0	button press	n/a	n/a	n/a	n/a	n/a	50
52.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
53.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
53.70	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.08	4.83	AA	0.88	5	0	3	3	n/a
59.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
60.98	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
66.19	4.83	AA	0.77	6	0	3	3	n/a
66.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
68.05	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.40	0	button press	n/a	n/a	n/a	n/a	n/a	54
73.26	4.83	CA	0.95	6	0	1	3	n/a
74.21	0	button press	n/a	n/a	n/a	n/a	n/a	50
75.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.84	4.83	CA	1.08	6	0	1	3	n/a
81.92	0	button press	n/a	n/a	n/a	n/a	n/a	50
82.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
83.09	0	button press	n/a	n/a	n/a	n/a	n/a	54
83.35	0	button press	n/a	n/a	n/a	n/a	n/a	54
83.57	0	button press	n/a	n/a	n/a	n/a	n/a	54
83.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
89.58	4.83	CA	0.77	5	0	1	3	n/a
90.35	0	button press	n/a	n/a	n/a	n/a	n/a	50
95.74	4.83	AA	1.33	2	0	3	3	n/a
97.07	0	button press	n/a	n/a	n/a	n/a	n/a	50
104.46	4.83	AA	1.05	3	0	3	3	n/a
105.51	0	button press	n/a	n/a	n/a	n/a	n/a	50
107.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
107.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
107.87	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.46	4.83	CA	1.15	2	0	1	3	n/a
111.60	0	button press	n/a	n/a	n/a	n/a	n/a	50
112.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
118.28	4.83	AA	0.75	2	0	3	3	n/a
119.03	0	button press	n/a	n/a	n/a	n/a	n/a	50
126.47	4.83	CA	1.33	2	0	1	3	n/a
127.80	0	button press	n/a	n/a	n/a	n/a	n/a	50
128.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
134.41	4.83	CC	0.93	3	0	1	1	n/a
135.34	0	button press	n/a	n/a	n/a	n/a	n/a	51
136.87	0	button press	n/a	n/a	n/a	n/a	n/a	55
137.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
141.54	4.83	AA	0.70	5	0	3	3	n/a
142.23	0	button press	n/a	n/a	n/a	n/a	n/a	50
144.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
144.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
145.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
147.85	4.83	AA	1.22	5	0	3	3	n/a
149.06	0	button press	n/a	n/a	n/a	n/a	n/a	50
150.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
155.95	4.83	CA	1.05	4	0	1	3	n/a
157.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
158.23	0	button press	n/a	n/a	n/a	n/a	n/a	54
163.41	4.83	AA	1.52	3	0	3	3	n/a
164.93	0	button press	n/a	n/a	n/a	n/a	n/a	50
170.57	4.83	AA	1.00	5	0	3	3	n/a
171.57	0	button press	n/a	n/a	n/a	n/a	n/a	50
172.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
173.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
173.62	0	button press	n/a	n/a	n/a	n/a	n/a	54
174.23	0	button press	n/a	n/a	n/a	n/a	n/a	54
179.61	4.83	missed_trial	n/a	n/a	0	3	n/a	n/a
181.24	0	button press	n/a	n/a	n/a	n/a	n/a	51
186.58	4.83	CA	1.28	2	0	1	3	n/a
187.87	0	button press	n/a	n/a	n/a	n/a	n/a	50
