onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	NN	0.81	3	1	0	0	n/a
10.84	0	button press	n/a	n/a	n/a	n/a	n/a	51
12.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
12.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
18.58	4.83	YN	0.70	4	1	3	0	n/a
19.28	0	button press	n/a	n/a	n/a	n/a	n/a	51
20.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
20.91	0	button press	n/a	n/a	n/a	n/a	n/a	55
21.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
27.17	4.83	NN	0.67	3	1	0	0	n/a
27.83	0	button press	n/a	n/a	n/a	n/a	n/a	51
29.22	0	button press	n/a	n/a	n/a	n/a	n/a	54
29.83	0	button press	n/a	n/a	n/a	n/a	n/a	54
34.69	4.83	NN	0.70	4	1	0	0	n/a
35.39	0	button press	n/a	n/a	n/a	n/a	n/a	51
36.81	0	button press	n/a	n/a	n/a	n/a	n/a	54
37.14	0	button press	n/a	n/a	n/a	n/a	n/a	54
43.37	4.83	YN	0.68	3	1	1	0	n/a
44.05	0	button press	n/a	n/a	n/a	n/a	n/a	51
45.50	0	button press	n/a	n/a	n/a	n/a	n/a	54
51.14	4.83	YN	0.70	3	1	1	0	n/a
51.84	0	button press	n/a	n/a	n/a	n/a	n/a	51
53.07	0	button press	n/a	n/a	n/a	n/a	n/a	54
53.51	0	button press	n/a	n/a	n/a	n/a	n/a	55
53.85	0	button press	n/a	n/a	n/a	n/a	n/a	55
57.18	4.83	NN	0.68	3	1	0	0	n/a
57.87	0	button press	n/a	n/a	n/a	n/a	n/a	51
59.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.43	4.83	NN	0.67	3	1	0	0	n/a
64.09	0	button press	n/a	n/a	n/a	n/a	n/a	51
69.50	4.83	NN	0.67	3	1	0	0	n/a
70.17	0	button press	n/a	n/a	n/a	n/a	n/a	51
72.02	0	button press	n/a	n/a	n/a	n/a	n/a	54
72.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.55	4.83	NN	0.70	3	1	0	0	n/a
