onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.09	4.83	NY	1.40	2	1	0	1	n/a
11.49	0	button press	n/a	n/a	n/a	n/a	n/a	51
12.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
18.00	4.83	NN	1.37	4	1	0	0	n/a
19.36	0	button press	n/a	n/a	n/a	n/a	n/a	50
20.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
24.42	4.83	NY	0.77	6	1	0	1	n/a
25.19	0	button press	n/a	n/a	n/a	n/a	n/a	51
26.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
26.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
32.18	4.83	NY	0.63	5	1	0	1	n/a
32.81	0	button press	n/a	n/a	n/a	n/a	n/a	51
34.56	0	button press	n/a	n/a	n/a	n/a	n/a	55
35.11	0	button press	n/a	n/a	n/a	n/a	n/a	55
39.49	4.83	NY	1.03	5	1	0	1	n/a
40.52	0	button press	n/a	n/a	n/a	n/a	n/a	51
41.82	0	button press	n/a	n/a	n/a	n/a	n/a	55
42.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
42.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
47.90	4.83	YY	0.88	6	1	3	1	n/a
48.78	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.71	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.98	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.64	0	button press	n/a	n/a	n/a	n/a	n/a	55
55.47	4.83	YY	0.75	6	1	3	1	n/a
56.22	0	button press	n/a	n/a	n/a	n/a	n/a	51
57.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
57.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
57.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
58.20	0	button press	n/a	n/a	n/a	n/a	n/a	55
63.89	4.83	NY	0.87	5	1	0	1	n/a
64.76	0	button press	n/a	n/a	n/a	n/a	n/a	51
65.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.00	4.83	YY	0.67	6	1	3	1	n/a
70.67	0	button press	n/a	n/a	n/a	n/a	n/a	51
71.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
71.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
71.98	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.76	4.83	YY	0.67	6	1	3	1	n/a
78.43	0	button press	n/a	n/a	n/a	n/a	n/a	51
79.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
86.10	4.83	NY	0.68	6	1	0	1	n/a
86.78	0	button press	n/a	n/a	n/a	n/a	n/a	51
88.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
88.58	0	button press	n/a	n/a	n/a	n/a	n/a	55
94.49	4.83	YY	1.26	3	1	1	1	n/a
95.76	0	button press	n/a	n/a	n/a	n/a	n/a	51
96.66	0	button press	n/a	n/a	n/a	n/a	n/a	54
97.09	0	button press	n/a	n/a	n/a	n/a	n/a	54
101.15	4.83	YY	0.67	6	1	3	1	n/a
101.82	0	button press	n/a	n/a	n/a	n/a	n/a	51
103.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
103.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
107.69	4.83	YY	0.90	5	1	1	1	n/a
108.59	0	button press	n/a	n/a	n/a	n/a	n/a	51
109.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
113.34	4.83	YY	0.83	5	1	3	1	n/a
114.17	0	button press	n/a	n/a	n/a	n/a	n/a	51
115.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.00	4.83	NN	1.15	4	1	0	0	n/a
121.15	0	button press	n/a	n/a	n/a	n/a	n/a	50
122.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
122.58	0	button press	n/a	n/a	n/a	n/a	n/a	55
122.91	0	button press	n/a	n/a	n/a	n/a	n/a	55
126.49	4.83	YY	0.77	6	1	3	1	n/a
127.25	0	button press	n/a	n/a	n/a	n/a	n/a	51
128.19	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.44	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
129.20	0	button press	n/a	n/a	n/a	n/a	n/a	55
134.38	4.83	NN	1.23	4	1	0	0	n/a
135.61	0	button press	n/a	n/a	n/a	n/a	n/a	50
136.68	0	button press	n/a	n/a	n/a	n/a	n/a	55
137.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
140.64	4.83	YY	1.02	2	1	1	1	n/a
141.65	0	button press	n/a	n/a	n/a	n/a	n/a	51
